Description	Iteration	Algorithm	Features
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	gamma-glutamyl-transpeptidase
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	gamma-glutamyl-transpeptidase,alkaline-phosphotase,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	gamma-glutamyl-transpeptidase,alamine-aminotransferase,aspartate-aminotransferase,num-half-pint-equivalents,mean-corpuscular-vol,alkaline-phosphotase
liver-disorder	1	/AlgorithmScripts/Classification/tsv/keras/dnn	gamma-glutamyl-transpeptidase,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol,num-half-pint-equivalents,alkaline-phosphotase
liver-disorder	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	gamma-glutamyl-transpeptidase,alamine-aminotransferase,aspartate-aminotransferase,num-half-pint-equivalents,mean-corpuscular-vol,alkaline-phosphotase
liver-disorder	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	gamma-glutamyl-transpeptidase,aspartate-aminotransferase,alamine-aminotransferase,alkaline-phosphotase,num-half-pint-equivalents,mean-corpuscular-vol
liver-disorder	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	gamma-glutamyl-transpeptidase,num-half-pint-equivalents,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	gamma-glutamyl-transpeptidase,alkaline-phosphotase,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	gamma-glutamyl-transpeptidase,num-half-pint-equivalents,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol,alkaline-phosphotase
liver-disorder	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	aspartate-aminotransferase,alamine-aminotransferase,gamma-glutamyl-transpeptidase,mean-corpuscular-vol,num-half-pint-equivalents
liver-disorder	2	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	num-half-pint-equivalents,mean-corpuscular-vol,alkaline-phosphotase
