Description	Outer_Iteration	Inner_Iteration	Algorithm	Features
breast-cancer	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	deg-malig,inv-nodes,node-caps,age,irradiat,breast,menopause_1,menopause_2,breast-quad_1,breast-quad_5,breast-quad_3,tumor-size,breast-quad_4,breast-quad_2
breast-cancer	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	deg-malig,inv-nodes,breast-quad_4,tumor-size,breast-quad_2,breast-quad_1,breast,breast-quad_3,breast-quad_5,node-caps,menopause_2,menopause_1,irradiat,age
breast-cancer	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	deg-malig,breast-quad_2,breast-quad_3,tumor-size,breast-quad_4,breast,breast-quad_1,breast-quad_5,menopause_1,menopause_2,irradiat,age,inv-nodes,node-caps
breast-cancer	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	deg-malig,menopause_2,breast-quad_3,irradiat,breast,breast-quad_2,breast-quad_1,inv-nodes,breast-quad_5,age,node-caps,breast-quad_4,tumor-size,menopause_1
breast-cancer	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	deg-malig,inv-nodes,breast-quad_4,tumor-size,breast-quad_2,breast-quad_1,breast,breast-quad_3,breast-quad_5,node-caps,menopause_2,menopause_1,irradiat,age
breast-cancer	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	deg-malig,inv-nodes,node-caps,age,irradiat,breast,menopause_1,menopause_2,breast-quad_1,tumor-size,breast-quad_5,breast-quad_3,breast-quad_4,breast-quad_2
breast-cancer	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	deg-malig,irradiat,breast-quad_2,inv-nodes,tumor-size,breast-quad_5,breast-quad_4,menopause_1,breast,breast-quad_1,node-caps,breast-quad_3,menopause_2,age
breast-cancer	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	deg-malig,age,menopause_2,tumor-size,breast-quad_3,menopause_1,breast-quad_1,breast-quad_5,irradiat,breast-quad_4,breast,node-caps,breast-quad_2,inv-nodes
breast-cancer	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	tumor-size,deg-malig,age,inv-nodes,breast-quad_2,breast,irradiat,breast-quad_5,menopause_2,node-caps,breast-quad_3,breast-quad_1,breast-quad_4,menopause_1
breast-cancer	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	deg-malig,breast-quad_2,breast-quad_3,breast-quad_1,breast,inv-nodes,breast-quad_5,breast-quad_4,menopause_1,age,menopause_2,irradiat,tumor-size,node-caps
