Description	Iteration	Algorithm	Features
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	deg-malig
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	node-caps,breast-quad_1,breast-quad_3,deg-malig,breast-quad_2
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	inv-nodes,node-caps,breast,deg-malig,irradiat
breast-cancer	1	/AlgorithmScripts/Classification/tsv/keras/dnn	deg-malig,inv-nodes,node-caps,breast-quad_3,tumor-size,breast-quad_1,breast,breast-quad_2,breast-quad_5,breast-quad_4,menopause_2,menopause_1,irradiat,age
breast-cancer	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	deg-malig,inv-nodes,node-caps
breast-cancer	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	node-caps,breast-quad_1,breast-quad_3,deg-malig,breast-quad_2,breast,inv-nodes,breast-quad_5,breast-quad_4,menopause_1
breast-cancer	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	deg-malig
breast-cancer	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	deg-malig
breast-cancer	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	tumor-size,inv-nodes,deg-malig
breast-cancer	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	deg-malig,node-caps,inv-nodes,irradiat,tumor-size,age,menopause_1,breast-quad_5,breast,menopause_2,breast-quad_1,breast-quad_3,breast-quad_2,breast-quad_4
breast-cancer	2	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	tumor-size,deg-malig,age,inv-nodes,node-caps
breast-cancer	2	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	deg-malig,inv-nodes,breast-quad_5,node-caps,irradiat,breast,breast-quad_4,menopause_1,breast-quad_1,breast-quad_2
breast-cancer	2	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	deg-malig,node-caps,inv-nodes,irradiat,tumor-size
breast-cancer	2	/AlgorithmScripts/Classification/tsv/keras/dnn	deg-malig,inv-nodes,node-caps,irradiat,tumor-size
breast-cancer	2	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	deg-malig
breast-cancer	2	/AlgorithmScripts/Classification/tsv/mlr/mlp	deg-malig
breast-cancer	2	/AlgorithmScripts/Classification/tsv/mlr/xgboost	deg-malig,inv-nodes,breast-quad_5,node-caps,breast,irradiat,breast-quad_4,menopause_1,tumor-size,breast-quad_1
breast-cancer	2	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	deg-malig
breast-cancer	2	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	deg-malig
breast-cancer	2	/AlgorithmScripts/Classification/tsv/sklearn/svm	deg-malig
breast-cancer	3	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	deg-malig,inv-nodes,irradiat
breast-cancer	3	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	deg-malig
breast-cancer	3	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	deg-malig,breast-quad_3,menopause_2,breast-quad_2,breast-quad_1,breast-quad_4,breast,inv-nodes,irradiat,age
breast-cancer	3	/AlgorithmScripts/Classification/tsv/keras/dnn	deg-malig,breast-quad_3,menopause_2,breast-quad_2,breast-quad_1
breast-cancer	3	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	deg-malig
breast-cancer	3	/AlgorithmScripts/Classification/tsv/mlr/mlp	tumor-size,deg-malig,age
breast-cancer	3	/AlgorithmScripts/Classification/tsv/mlr/xgboost	deg-malig,inv-nodes,irradiat,node-caps,age
breast-cancer	3	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	deg-malig
breast-cancer	3	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	tumor-size,deg-malig,age
breast-cancer	3	/AlgorithmScripts/Classification/tsv/sklearn/svm	deg-malig,tumor-size,breast,breast-quad_3,breast-quad_2,breast-quad_4,breast-quad_1,breast-quad_5,node-caps,inv-nodes
breast-cancer	4	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	deg-malig
